Code,Name(s),Purpose,Status
E451,Triphosphates (i) Sodium triphosphate (pentasodium triphosphate) (ii) Pentapotassium triphosphate,emulsifier,Approved in the EU.[18]
E452,Polyphosphates (i) Sodium polyphosphates (ii) Potassium polyphosphates (iii) Sodium calcium polyphosphate (iv) Calcium polyphosphates (v) Ammonium polyphosphate,emulsifier,Approved in the EU.[18]
E459,Beta-cyclodextrin,emulsifier,Approved in the EU.[18]
E460,Cellulose (i) Microcrystalline cellulose (ii) Powdered cellulose,emulsifier,Approved in the EU.[21]
E461,Methyl cellulose,emulsifier,Approved in the EU.[21]
E462,Ethyl cellulose,emulsifier,Approved in the EU.[21]
E463,Hydroxypropyl cellulose,emulsifier,Approved in the EU.[21]
E464,Hypromellose (hydroxypropyl methylcellulose),emulsifier,Approved in the EU.[21]
E465,Ethyl methyl cellulose,emulsifier,Approved in the EU.[21]
E466,"Carboxymethyl cellulose, Sodium carboxymethyl cellulose",emulsifier,Approved in the EU.[21]
E467,Ethyl hydroxyethyl cellulose,,
E468,Crosslinked sodium carboxymethyl cellulose (Croscarmellose),emulsifier,Approved in the EU.[21] This additive is under discussion and may be included in a future amendment to the Directive on miscellaneous additives
E469,Enzymically hydrolysed carboxymethylcellulose,emulsifier,Approved in the EU.[21]
E470a,"Sodium, potassium and calcium salts of fatty acids (emulsifier)",anti-caking agent,Approved in the EU.[21]
E470b,Magnesium salts of fatty acids (emulsifier),anti-caking agent,Approved in the EU.[21]
E471,"Mono- and diglycerides of fatty acids (glyceryl monostearate, glyceryl distearate)",emulsifier,Approved in the EU.[21]
E472a,Acetic acid esters of mono- and diglycerides of fatty acids,emulsifier,Approved in the EU.[21]
E472b,Lactic acid esters of mono- and diglycerides of fatty acids,emulsifier,Approved in the EU.[21]
E472c,Citric acid esters of mono- and diglycerides of fatty acids,emulsifier,Approved in the EU.[21]
E472d,Tartaric acid esters of mono- and diglycerides of fatty acids,emulsifier,Approved in the EU.[21]
E472e,Mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids,emulsifier,Approved in the EU.[21]
E472f,Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,emulsifier,Approved in the EU.[21]
E472g,Succinylated monoglycerides,emulsifier,
E473,Sucrose esters of fatty acids,emulsifier,Approved in the EU.[21]
E474,Sucroglycerides,emulsifier,Approved in the EU.[21]
E475,Polyglycerol esters of fatty acids,emulsifier,Approved in the EU.[21]
E476,Polyglycerol polyricinoleate,emulsifier,Approved in the EU.[21]
E477,"Propane-1,2-diol esters of fatty acids, propylene glycol esters of fatty acids",emulsifier,Approved in the EU.[21]
E478,Lactylated fatty acid esters of glycerol and propane-1,emulsifier,
E479b,Thermally oxidized soya bean oil interacted with mono- and diglycerides of fatty acids,emulsifier,Approved in the EU.[21]
E480,Dioctyl sodium sulphosuccinate,emulsifier,
E481,Sodium stearoyl-2-lactylate,emulsifier,Approved in the EU.[21]
E482,Calcium stearoyl-2-lactylate,emulsifier,Approved in the EU.[21]
E483,Stearyl tartrate,emulsifier,Approved in the EU.[21]
E484,Stearyl citrate,emulsifier,
E485,Sodium stearoyl fumarate,emulsifier,
E486,Calcium stearoyl fumarate,emulsifier,
E487,Sodium laurylsulphate,emulsifier,
E488,Ethoxylated Mono- and Di-Glycerides,emulsifier,
E489,Methyl glucoside-coconut oil ester,emulsifier,
E490,"Propane-1,2-diol",,
E491,Sorbitan monostearate,emulsifier,Approved in the EU.[21]
E492,Sorbitan tristearate,emulsifier,Approved in the EU.[21]
E493,Sorbitan monolaurate,emulsifier,Approved in the EU.[21]
E494,Sorbitan monooleate,emulsifier,Approved in the EU.[21]
E495,Sorbitan monopalmitate,emulsifier,Approved in the EU.[21]
E496,Sorbitan trioleate,emulsifier,
E497,Polyoxypropylene-polyoxyethylene polymers,,
E498,Partial polyglycerol esters of polycondensed fatty acids of castor oil,,
